"","logFC","logCPM","LR","PValue","FDR"
"PITA_41395",3.39315985501105,2.52086644976345,23.2619315039158,1.41370676227732e-06,0.000225577295583257
"PITA_42431",3.74729997849388,7.77659738285961,23.0323817329992,1.5929559466701e-06,0.000252629214737456
"PITA_32390",1.7161185397703,5.29591482469105,23.0013355327071,1.61888895575236e-06,0.000255185956667656
"PITA_46887",3.48118989137877,7.70204329204724,22.8706117053225,1.73281088394509e-06,0.00027149806193089
"PITA_41201",5.11533311844876,5.87577356560245,22.8317061236867,1.76824399115687e-06,0.000274611382074763
"PITA_23329",4.0051843918797,1.07667239555853,22.7279532388845,1.86633091166817e-06,0.000287227222967913
"PITA_30741",4.63887869266926,5.56955581478608,22.7068717606327,1.88691873571532e-06,0.000288687467042469
"PITA_07948",3.59782367411145,1.69235850651029,22.679431308372,1.91405827097053e-06,0.000290934866440637
"PITA_07595",3.32310140832853,1.16211427328983,22.6694968391305,1.92398004643737e-06,0.000290934866440637
"PITA_15425",1.78482079886924,4.56917156019192,22.580866166077,2.0148125373074e-06,0.000300701937635985
"PITA_05293",3.28637283526464,3.45773673708191,22.5728329285196,2.02325499197575e-06,0.000300701937635985
"PITA_35022",2.26046007982119,3.30460826587206,22.2978989474988,2.33461907171263e-06,0.000341129817057156
"PITA_26369",1.55327829840455,5.96042177959864,22.2662820031145,2.37337717185892e-06,0.000344855680798205
"PITA_04044",1.82031557763735,7.51035970459135,22.2040788744129,2.45152430787799e-06,0.000354231642908881
"PITA_27863",2.468972293522,5.60786542161064,22.1909883540485,2.46829620866985e-06,0.000354684619288918
"PITA_20975",4.13711327708561,4.25603128705102,22.1254011290837,2.55407750743864e-06,0.000364994515884459
"PITA_22393",2.26507945104204,5.20936697856902,21.9290460123743,2.82919164207176e-06,0.000393933234316524
"PITA_25485",4.46835376532927,0.717435799703873,21.9269328881734,2.83230861690915e-06,0.000393933234316524
"PITA_18399",3.04995817415225,5.09377580913853,21.8435952830424,2.95802299726661e-06,0.000409229894339933
"PITA_35674",3.76885166348381,6.19539120934737,21.7998797096618,3.02619106493097e-06,0.000416445520676136
"PITA_41111",3.58673981185514,2.09885719614683,21.7424532439693,3.11814047684629e-06,0.000426840608748922
"PITA_27740",4.33698401754225,0.318870022254761,21.6851717202366,3.21265061990663e-06,0.000437475549597652
"PITA_45790",2.95221036046282,2.86416859650848,21.3675462799404,3.79134895850819e-06,0.000513589557613747
"PITA_38247",1.43803643565432,6.79142793256684,21.2890069961717,3.94990156984133e-06,0.000532295284611415
"PITA_36140",4.9088601127002,3.28413240258205,21.2527218512483,4.02538356856572e-06,0.0005396711403857
"PITA_19648",4.60692992580003,0.115783759077749,21.2026495137678,4.13192921681781e-06,0.000551114600001099
"PITA_48756",2.97972192762911,1.83866261496209,21.1119399493432,4.33220382627502e-06,0.000574879027130546
"PITA_28479",3.56774849761745,6.78615212819867,21.0795836994319,4.40597545661175e-06,0.00058170058706099
"PITA_13193",1.58231644894866,6.38366881337695,20.9295641104989,4.7648379114798e-06,0.000625902369897364
"PITA_34591",1.83258061272617,5.1527245808453,20.8981686189721,4.84357452388817e-06,0.000633047888401042
"PITA_46440",4.24305952046748,0.572732740239759,20.8671804392503,4.92257008793698e-06,0.000640155627085765
"PITA_05188",2.58079022898057,7.47588122454791,20.7945961112304,5.11270216951309e-06,0.000661214957946836
"PITA_10539",4.60248455878119,1.64679144384394,20.786129816769,5.13535397382678e-06,0.000661214957946836
"PITA_01197",2.3324944436437,2.59879718711094,20.7474552708922,5.24011659050407e-06,0.000671380258140002
"PITA_17848",4.93184215755711,0.856637509713072,20.6923216724055,5.39318348057454e-06,0.000687604456599329
"PITA_14098",3.86669033906939,3.1658831292124,20.5914217433508,5.68502813468935e-06,0.000717776197840462
"PITA_41916",3.57694985819948,3.64097961876655,20.5807712630753,5.71674416067957e-06,0.000718293714372536
"PITA_11995",2.24973252789404,5.16670395717012,20.5556317089233,5.7923132922528e-06,0.00072428979047213
"PITA_04854",3.4135393929922,2.14041522423139,20.450404962404,6.1196606047995e-06,0.00076156101756091
"PITA_43376",3.57192804098416,7.039272546025,20.3940080976495,6.30268281435284e-06,0.000780602272945252
"PITA_23638",3.10887141225811,1.78312646758558,20.342692874811,6.4739840173167e-06,0.000798018247897584
"PITA_21435",2.03466302932637,4.79582001717324,20.2501200899357,6.79491971035582e-06,0.000833627673333229
"PITA_19393",3.89768506676628,0.750670992318388,20.1827302498513,7.03855157584791e-06,0.000853342662998334
"PITA_21954",2.29505552582142,4.88063416180701,20.1504378329237,7.15838599708807e-06,0.000861955839806775
"PITA_37344",2.9801955683755,1.52685935821486,20.1051948977341,7.32973160087403e-06,0.000878520687590472
"PITA_04147",4.52592989548229,0.0399000395735386,20.0897629634024,7.38911276864833e-06,0.000881575385320066
"PITA_44262",2.21721257933263,3.77292865411729,20.0382260984893,7.59094550561296e-06,0.000901520098883505
"PITA_38928",3.47109287182574,1.55507650327704,20.0038402253318,7.72867935692935e-06,0.000909571137531111
"PITA_49543",1.92267866614243,4.74550489484491,19.8963720895425,8.17553222065607e-06,0.000956748340231283
"PITA_32589",3.26594021447411,2.72701078658576,19.8899324713428,8.20311737750687e-06,0.000956748340231283
"PITA_30628",3.2053876248269,1.41961944145418,19.8552389304008,8.35334866293356e-06,0.000969877938670335
"PITA_49866",3.90371479875295,1.46060487784248,19.8468083946343,8.39027014498156e-06,0.000969877938670335
"PITA_23882",1.90521277216299,4.63454727564719,19.6246177272364,9.42470106548781e-06,0.00108463296465607
"PITA_06935",2.91896319784464,1.50829409712389,19.2883958698297,1.1238731994105e-05,0.00128770123539505
"PITA_48965",3.57082905296028,2.81571872462681,19.2514516387938,1.14583221099705e-05,0.00130710306911502
"PITA_03190",3.23218631538981,5.27091598023591,19.1893161191789,1.18374057720433e-05,0.0013444501603715
"PITA_48672",2.82007043078388,4.80294443407368,19.1178512856047,1.2289007173489e-05,0.00138967298945772
"PITA_24394",1.72313475283809,6.17965605616817,18.8378670594776,1.42313467270347e-05,0.00160235106936556
"PITA_29308",3.81023754823187,2.26117233839608,18.8126634172707,1.44206471638854e-05,0.001616666431403
"PITA_37789",4.29280620387396,2.63141538729212,18.7688858710088,1.47554845449447e-05,0.0016471047104269
"PITA_01815",4.01002734021238,1.63854789579127,18.6762542668561,1.54899567756824e-05,0.00171437568416478
"PITA_36035",3.90895571069692,1.30791537550121,18.6647334197958,1.55838363300011e-05,0.00171745762333475
"PITA_51729",2.47652076459123,1.95834269906773,18.6549748973838,1.56638021952485e-05,0.00171898662994185
"PITA_20515",3.65869534500205,4.55563850670342,18.5722002616559,1.63588868613691e-05,0.00178772390074516
"PITA_45773",1.41085532654937,6.48265406728906,18.5371267131184,1.66626782524394e-05,0.00181330376011588
"PITA_20665",4.41652470397077,2.97692505654875,18.5109402366609,1.68931830965567e-05,0.00183072832982643
"PITA_40527",2.70873186636489,1.72766725786436,18.4258482412339,1.76645481200503e-05,0.00190231587809179
"PITA_46930",2.27058125615492,3.74437164950937,18.4220229465281,1.77000439270335e-05,0.00190231587809179
"PITA_04332",2.90364649162302,1.25250804770949,18.4005904967034,1.79002500890345e-05,0.0019159160681716
"PITA_31270",2.34746683878441,2.98596772838223,18.2636332012651,1.92344359882763e-05,0.00204191202293501
"PITA_02304",2.00527644567228,4.8093685368104,18.2063230195331,1.98219668241229e-05,0.00209572981759599
"PITA_01830",3.88142610155991,0.701794196061675,18.1645386783488,2.02616648661917e-05,0.0021335451073068
"PITA_15529",3.48837266648213,4.53362414596309,18.0727986152327,2.12617332019086e-05,0.00222982426955017
"PITA_13989",3.05681026671711,5.89244539439047,18.0083687607405,2.19935965287499e-05,0.00229731506873998
"PITA_05740",2.35034642195073,1.83355139678581,17.9148096080482,2.31016451243436e-05,0.00240340275215621
"PITA_07904",3.7686456044296,3.01370577373165,17.8654006721172,2.37092685809179e-05,0.00244704113698847
"PITA_06853",1.25183929216297,7.96217153236825,17.841455891806,2.40094890690899e-05,0.00246073443363536
"PITA_22694",2.49988055834917,4.65821394441792,17.8338505255751,2.41056424266427e-05,0.00246073443363536
"PITA_07118",2.71804823795068,2.35304328663883,17.8322619791747,2.41257749462501e-05,0.00246073443363536
"PITA_00470",2.71215125446306,4.97601142694563,17.8094431834939,2.44168414434566e-05,0.00248069386368306
"PITA_48310",2.82504121070206,3.51959874163557,17.7612268872903,2.50435249346106e-05,0.00252530801952341
"PITA_38499",3.4014977596888,3.45608994209753,17.7607233208688,2.50501545248583e-05,0.00252530801952341
"PITA_06926",2.08810972737948,2.56205766691948,17.7334142958143,2.54123388949766e-05,0.00255192865760404
"PITA_08476",2.39720608077018,2.90107247190142,17.716007370578,2.56459384627604e-05,0.00256548159029975
"PITA_29147",2.80518805382386,2.16652282188076,17.5918379131206,2.73760813291472e-05,0.0027280632156697
"PITA_12671",2.46786171432345,2.7068339502663,17.4545953223124,2.94252121316301e-05,0.00292107000889911
"PITA_14470",2.28128595244724,4.26883584533807,17.4435492956041,2.95966918238099e-05,0.00292692151195996
"PITA_40601",1.23099393027116,7.91086844084064,17.4166013766136,3.00192598108567e-05,0.00295746563795671
"PITA_14731",3.39131996644392,3.17761998129758,17.3920940468448,3.04088196294521e-05,0.00298453958393366
"PITA_07558",2.62461602720786,2.99377887476556,17.347653977175,3.11282293426508e-05,0.00303617643178143
"PITA_32996",1.52223458978882,5.11987730121621,17.3452025861738,3.11684073699735e-05,0.00303617643178143
"PITA_18840",4.11451988419102,0.140029380057951,17.268021917208,3.24603993083767e-05,0.00315023330452079
"PITA_11637",1.87563829704876,5.36537129049308,17.2178884870836,3.33283284920991e-05,0.00322244050465058
"PITA_17809",2.34120959535012,4.00801926896441,17.0750300836353,3.59316412006739e-05,0.00344850943169125
